"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"2025",319042093,215000,2018-06-13,"2018-02-24",0.28,2018-04-30,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","Y","N","Y","N",1
"2026",319043065,230000,2018-03-31,"2018-02-24",0.1513,2018-04-27,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","Y","N","N","Y","N",1
"2027",319043070,255000,2018-07-02,"2018-02-24",0.2,2018-09-26,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","Y","N","N","Y","N",1
"2028",319045053,280000,2018-12-28,"2018-02-24",0.1699,2018-03-22,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","Y","Y","N","N","Y","N",1
"2029",319046020,227000,2018-04-09,"2018-02-24",0.2199,2018-04-30,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","Y","N","N","Y","N",1
"2030",319046021,225000,2018-04-09,"2018-02-24",0.2199,2018-04-30,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","Y","N","N","Y","N",1
"2031",319052031,250000,2018-02-09,"2018-02-24",0.83,2018-04-03,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","N","N","Y","N",1
"2032",319052078,266800,2018-09-14,"2018-02-24",0.4028,2018-04-09,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","N","N","Y","N",1
"2033",319052146,4e+05,2018-04-04,"2018-02-24",0.1118,2018-05-23,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","N","N","Y","N",1
"2034",319053107,140567,2018-08-03,"2018-02-24",0.3,2018-05-02,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,5407,"Y","N","N","N","N","Y","N",1
