Parcel_Number,sale_price,Sale_Date,Land_Economic_Area,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_healthcare,near_libraries,near_policestation,near_schools,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
6995201680,110100,2018-10-19,2005-07-01,0.2066,1,0,1428,0,1,0,0,0,0,0,1340,1,6,9,0,0,0,1,0,0,1,1,3,1.5,1979
6995300520,255500,2018-09-11,2005-07-01,0.1769,0,0,1428,0,1,0,0,0,1,0,1296,1,6,5,0,0,0,0,0,0,0,1,3,1.75,2000
6995320120,240000,2018-03-26,2005-07-01,0.2128,0,0,1428,0,1,0,0,0,1,0,1764,1,6,5,0,0,0,0,0,0,1,1,2,1.75,2009
6995320630,106000,2018-02-05,2005-07-01,0.1928,0,0,1428,0,1,0,0,0,1,0,1248,1,6,5,0,0,0,1,0,0,0,1,2,1.5,1978
6995320900,246500,2018-10-18,2005-07-01,0.1928,0,0,1428,0,1,0,0,0,1,0,1502,1,6,5,0,0,0,1,0,0,0,1,3,2,2006
6995321350,137500,2018-09-12,2005-07-01,0.1767,0,0,1428,0,1,0,0,0,1,0,1279,1,6,2,0,0,0,0,0,0,0,1,3,1.75,1978
6995321541,250000,2018-11-05,2005-07-01,0.2058,0,0,1428,0,1,0,0,0,1,0,1432,1,6,4,0,0,0,0,0,0,0,1,3,2,1992
6995321580,315000,2018-10-25,2005-07-01,0.1767,0,0,1428,0,1,0,0,0,1,0,1636,0.85,6,4,0,0,0,1,1,0,0,2,3,2.5,2018
6995322230,165000,2018-02-21,2005-07-01,0.1528,0,0,1428,0,0,0,0,0,1,0,728,1,6,3,0,0,0,1,0,0,0,1,3,1,2000
6995323220,235000,2018-05-17,2005-07-01,0.1641,0,0,1428,0,0,0,0,0,0,0,1296,1,6,5,0,0,0,1,0,0,0,1,3,1.75,2006
6995323741,277000,2018-12-13,2005-07-01,0.2323,0,0,1428,0,0,0,0,0,0,0,1486,1,6,5,0,1,0,1,0,0,0,1,3,2.5,2007
6995324580,260000,2018-05-02,2005-07-01,0.1907,0,0,1428,0,0,0,0,0,0,0,1506,1,6,5,0,0,0,1,0,0,1,1,3,1.75,1998
6995324830,170000,2018-06-12,2005-07-01,0.2331,0,0,1428,0,0,0,0,0,0,0,1355,1,6,4,0,0,0,1,1,0,0,2,3,2,2007
6995325910,295000,2018-06-18,2005-07-01,0.1666,1,0,1428,0,0,0,0,0,0,0,1220,1,6,4,0,0,0,1,0,1,0,1,2,2,2000
6995326220,299950,2018-12-03,2005-07-01,0.2006,0,0,1428,0,1,0,0,0,1,0,1355,1,6,4,0,0,0,1,1,0,1,2,2,2,2004
6995326540,95000,2018-10-22,2005-07-01,0.1767,0,0,1428,0,1,0,0,0,1,0,800,1,6,5,0,0,0,1,0,0,1,1,2,1,1970
6995400420,205000,2018-09-27,2005-07-01,0.287,0,0,1428,0,1,0,0,0,1,0,1652,1,6,4,0,0,0,0,0,0,1,1,3,2,1992
6995400460,230000,2018-04-16,2005-07-01,0.2809,0,0,1428,0,1,0,0,0,1,0,1080,1,6,5,0,0,0,1,0,0,0,1,3,2,1992
