"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11764",420273128,265000,2018-07-22,2009-09-01,0.1606,"0","0",4215,"0","1","1","0","1","1","0",1293,"6","4","0","0","0","1","0","0",0,1,3,2,1988
"11765",420273264,303450,2018-10-31,2009-09-01,0.1199,"0","0",4215,"0","1","1","0","1","1","0",1200,"6","4","0","0","0","0","1","0",0,1,3,1.75,1995
"11766",420276018,355000,2018-12-21,2009-06-01,0.192,"0","0",4215,"0","1","0","0","1","1","0",1568,"6","5","0","0","0","1","1","0",1,1,3,2,2002
"11767",420281065,418000,2018-11-13,2009-06-01,0.2754,"0","0",4215,"0","1","0","0","1","1","0",2277,"6","5","0","0","0","1","0","1",1,1.5,4,1.75,1995
"11768",420281067,293000,2018-06-06,2009-06-01,0.1469,"0","0",4215,"0","1","0","0","1","1","0",1472,"6","4","0","0","0","1","0","0",1,1.5,3,1,1981
"11769",420283062,260000,2018-08-03,2009-06-01,0.2238,"0","0",4215,"0","1","0","0","1","1","0",1089,"6","4","0","0","0","1","1","0",1,1,2,1,1986
"11770",420283070,505000,2018-06-14,2009-06-01,0.23,"0","0",4215,"0","1","0","0","1","1","0",3402,"6","5","0","0","0","1","1","0",1,2,4,2.5,1995
"11771",420284082,335000,2018-01-29,2009-06-01,0.1629,"0","0",4215,"0","1","1","0","1","1","0",1602,"6","4","0","0","0","0","0","0",1,1,3,2,1984
"11772",420284084,288000,2018-11-26,2009-06-01,0.1629,"0","0",4215,"0","1","1","0","1","1","0",1029,"6","3","0","0","0","1","0","1",0,1,3,1,1994
"11773",420301059,505000,2018-06-22,2009-05-15,2.4,"0","0",4215,"0","1","0","0","0","0","0",2062,"6","5","0","0","0","1","1","0",1,2,3,2,1998
"11774",420316004,125000,2018-06-29,2009-07-15,0.325,"0","0",4215,"0","1","0","0","0","0","0",2705,"6","7","0","0","0","1","1","0",0,1,3,2.75,2019
"11775",420316018,520000,2018-10-08,2009-07-15,0.2387,"0","0",4215,"0","1","0","0","0","0","0",1360,"6","7","0","0","0","0","0","0",0,1,3,1.75,1995
"11776",420316063,550000,2018-04-27,2009-07-15,1,"0","0",4215,"0","1","0","0","0","0","0",2085,"6","6","0","1","1","1","1","0",1,2,3,2.5,1995
